REGION,SALARY,YEAR
ACEH,3165031,2021
SUMATERA UTARA,2499423,2021
SUMATERA BARAT,2484041,2021
RIAU,3005460,2021
JAMBI,3230023,2021
SUMATERA SELATAN,3043111,2021
BENGKULU,2888564,2021
LAMPUNG,2432001,2021
KEP. BANGKA BELITUNG,2215000,2021
KEP. RIAU,2630162,2021
DKI JAKARTA,4416186,2021
JAWA BARAT,1810351,2021
JAWA TENGAH,1798979,2021
DI YOGYAKARTA,1765000,2021
JAWA TIMUR,1868777,2021
BANTEN,2460996,2021
BALI,2494000,2021
NUSA TENGGARA BARAT,2183883,2021
NUSA TENGGARA TIMUR,1950000,2021
KALIMANTAN BARAT,2399698,2021
KALIMANTAN TENGAH,2903144,2021
KALIMANTAN SELATAN,2877448,2021
KALIMANTAN TIMUR,2981378,2021
KALIMANTAN UTARA,3000804,2021
SULAWESI UTARA,3310723,2021
SULAWESI TENGAH,2552014,2021
SULAWESI SELATAN,3165876,2021
SULAWESI TENGGARA,2303711,2021
GORONTALO,2788826,2021
SULAWESI BARAT,2678863,2021
MALUKU,2721530,2021
MALUKU UTARA,2604961,2021
PAPUA BARAT,3134600,2021
PAPUA,3516700,2021
INDONESIA,2608093,2021
ACEH,3166460,2022
SUMATERA UTARA,2522609,2022
SUMATERA BARAT,2512539,2022
RIAU,2938564,2022
JAMBI,2649034,2022
SUMATERA SELATAN,3144446,2022
BENGKULU,2238094,2022
LAMPUNG,2440486,2022
KEP. BANGKA BELITUNG,3264881,2022
KEP. RIAU,3050172,2022
DKI JAKARTA,4452724,2022
JAWA BARAT,1841487,2022
JAWA TENGAH,1813011,2022
DI YOGYAKARTA,1840951,2022
JAWA TIMUR,1891567,2022
BANTEN,2501203,2022
BALI,2516971,2022
NUSA TENGGARA BARAT,2207212,2022
NUSA TENGGARA TIMUR,1975000,2022
KALIMANTAN BARAT,2434328,2022
KALIMANTAN TENGAH,2922516,2022
KALIMANTAN SELATAN,2906473,2022
KALIMANTAN TIMUR,3014497,2022
KALIMANTAN UTARA,3016738,2022
SULAWESI UTARA,3310723,2022
SULAWESI TENGAH,2390739,2022
SULAWESI SELATAN,3165876,2022
SULAWESI TENGGARA,2710595,2022
GORONTALO,2800580,2022
SULAWESI BARAT,2678863,2022
MALUKU,2619312,2022
MALUKU UTARA,2862231,2022
PAPUA BARAT,3200000,2022
PAPUA,3561932,2022
INDONESIA,2644709,2022

